###################### UltraGCN ######################
1. Loading Configuration...
load path = ./electronics_ii_constraint_mat object
load path = ./electronics_ii_neighbor_mat object
Load Configuration OK, show them below
The time for epoch 150 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.71371, F1-score: 0.021793 	 Precision: 0.01237	 Recall: 0.09151	NDCG: 0.04985
The time for epoch 151 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.90906, F1-score: 0.021724 	 Precision: 0.01233	 Recall: 0.09099	NDCG: 0.04981
The time for epoch 152 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.34637, F1-score: 0.021652 	 Precision: 0.01230	 Recall: 0.09037	NDCG: 0.04969
The time for epoch 153 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.87164, F1-score: 0.021607 	 Precision: 0.01226	 Recall: 0.09067	NDCG: 0.04964
The time for epoch 154 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 254.31413, F1-score: 0.021660 	 Precision: 0.01230	 Recall: 0.09065	NDCG: 0.04944
The time for epoch 155 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.98386, F1-score: 0.021723 	 Precision: 0.01233	 Recall: 0.09094	NDCG: 0.04955
The time for epoch 156 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.94440, F1-score: 0.021652 	 Precision: 0.01230	 Recall: 0.09034	NDCG: 0.04945
The time for epoch 157 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.39731, F1-score: 0.021472 	 Precision: 0.01220	 Recall: 0.08972	NDCG: 0.04917
The time for epoch 158 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.37943, F1-score: 0.021776 	 Precision: 0.01237	 Recall: 0.09090	NDCG: 0.04949
The time for epoch 159 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.16306, F1-score: 0.021654 	 Precision: 0.01230	 Recall: 0.09044	NDCG: 0.04933
The time for epoch 160 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.16061, F1-score: 0.021773 	 Precision: 0.01237	 Recall: 0.09080	NDCG: 0.04949
The time for epoch 161 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.64911, F1-score: 0.021553 	 Precision: 0.01223	 Recall: 0.09068	NDCG: 0.04941
The time for epoch 162 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.13080, F1-score: 0.021713 	 Precision: 0.01233	 Recall: 0.09058	NDCG: 0.04937
The time for epoch 163 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.43845, F1-score: 0.021530 	 Precision: 0.01223	 Recall: 0.08986	NDCG: 0.04943
The time for epoch 164 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.00104, F1-score: 0.021790 	 Precision: 0.01237	 Recall: 0.09141	NDCG: 0.04987
The time for epoch 165 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 269.25983, F1-score: 0.021590 	 Precision: 0.01226	 Recall: 0.09008	NDCG: 0.04942
The time for epoch 166 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.87521, F1-score: 0.021679 	 Precision: 0.01230	 Recall: 0.09130	NDCG: 0.04979
The time for epoch 167 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.44284, F1-score: 0.021808 	 Precision: 0.01237	 Recall: 0.09204	NDCG: 0.04999
The time for epoch 168 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.29639, F1-score: 0.021856 	 Precision: 0.01240	 Recall: 0.09184	NDCG: 0.05009
The time for epoch 169 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.68173, F1-score: 0.021830 	 Precision: 0.01240	 Recall: 0.09091	NDCG: 0.05034
The time for epoch 170 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.04062, F1-score: 0.021768 	 Precision: 0.01237	 Recall: 0.09063	NDCG: 0.04979
The time for epoch 171 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.99060, F1-score: 0.021790 	 Precision: 0.01237	 Recall: 0.09141	NDCG: 0.04964
The time for epoch 172 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.02954, F1-score: 0.021784 	 Precision: 0.01237	 Recall: 0.09120	NDCG: 0.04960
The time for epoch 173 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.51791, F1-score: 0.022088 	 Precision: 0.01254	 Recall: 0.09240	NDCG: 0.05011
The time for epoch 174 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.78574, F1-score: 0.021775 	 Precision: 0.01237	 Recall: 0.09087	NDCG: 0.04978
The time for epoch 175 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.51303, F1-score: 0.021791 	 Precision: 0.01237	 Recall: 0.09145	NDCG: 0.04999
The time for epoch 176 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.67050, F1-score: 0.021839 	 Precision: 0.01240	 Recall: 0.09125	NDCG: 0.05003
The time for epoch 177 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.51959, F1-score: 0.022191 	 Precision: 0.01261	 Recall: 0.09220	NDCG: 0.05029
The time for epoch 178 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.47498, F1-score: 0.022153 	 Precision: 0.01258	 Recall: 0.09277	NDCG: 0.05048
The time for epoch 179 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.74771, F1-score: 0.022091 	 Precision: 0.01254	 Recall: 0.09248	NDCG: 0.05029
The time for epoch 180 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.44333, F1-score: 0.022259 	 Precision: 0.01265	 Recall: 0.09269	NDCG: 0.05039
The time for epoch 181 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.30847, F1-score: 0.022073 	 Precision: 0.01254	 Recall: 0.09187	NDCG: 0.05016
The time for epoch 182 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.55045, F1-score: 0.022200 	 Precision: 0.01261	 Recall: 0.09254	NDCG: 0.05014
The time for epoch 183 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.49841, F1-score: 0.022262 	 Precision: 0.01265	 Recall: 0.09278	NDCG: 0.05043
The time for epoch 184 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.84460, F1-score: 0.021683 	 Precision: 0.01230	 Recall: 0.09144	NDCG: 0.04993
The time for epoch 185 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.48911, F1-score: 0.022352 	 Precision: 0.01268	 Recall: 0.09406	NDCG: 0.05078
The time for epoch 186 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.63980, F1-score: 0.022188 	 Precision: 0.01258	 Recall: 0.09401	NDCG: 0.05058
The time for epoch 187 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.58871, F1-score: 0.022213 	 Precision: 0.01261	 Recall: 0.09296	NDCG: 0.05067
The time for epoch 188 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.33511, F1-score: 0.022455 	 Precision: 0.01275	 Recall: 0.09387	NDCG: 0.05100
The time for epoch 189 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.10104, F1-score: 0.022208 	 Precision: 0.01261	 Recall: 0.09279	NDCG: 0.05059
The time for epoch 190 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.55420, F1-score: 0.022397 	 Precision: 0.01272	 Recall: 0.09374	NDCG: 0.05102
The time for epoch 191 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.08191, F1-score: 0.022462 	 Precision: 0.01275	 Recall: 0.09412	NDCG: 0.05108
The time for epoch 192 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.25479, F1-score: 0.022215 	 Precision: 0.01261	 Recall: 0.09303	NDCG: 0.05066
The time for epoch 193 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.97568, F1-score: 0.022517 	 Precision: 0.01279	 Recall: 0.09418	NDCG: 0.05122
The time for epoch 194 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.40506, F1-score: 0.022216 	 Precision: 0.01261	 Recall: 0.09307	NDCG: 0.05094
The time for epoch 195 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.56143, F1-score: 0.023025 	 Precision: 0.01307	 Recall: 0.09680	NDCG: 0.05206
The time for epoch 196 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.67010, F1-score: 0.022777 	 Precision: 0.01293	 Recall: 0.09570	NDCG: 0.05157
The time for epoch 197 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.34204, F1-score: 0.022904 	 Precision: 0.01300	 Recall: 0.09638	NDCG: 0.05184
The time for epoch 198 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.35663, F1-score: 0.022906 	 Precision: 0.01300	 Recall: 0.09643	NDCG: 0.05184
The time for epoch 199 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.27606, F1-score: 0.022958 	 Precision: 0.01303	 Recall: 0.09635	NDCG: 0.05171
The time for epoch 200 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.98090, F1-score: 0.022967 	 Precision: 0.01303	 Recall: 0.09667	NDCG: 0.05194
The time for epoch 201 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.53204, F1-score: 0.022892 	 Precision: 0.01300	 Recall: 0.09596	NDCG: 0.05187
The time for epoch 202 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.07651, F1-score: 0.023063 	 Precision: 0.01310	 Recall: 0.09626	NDCG: 0.05226
The time for epoch 203 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.56113, F1-score: 0.022849 	 Precision: 0.01296	 Recall: 0.09633	NDCG: 0.05234
The time for epoch 204 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.43973, F1-score: 0.022955 	 Precision: 0.01303	 Recall: 0.09625	NDCG: 0.05215
The time for epoch 205 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.51202, F1-score: 0.023122 	 Precision: 0.01314	 Recall: 0.09645	NDCG: 0.05208
The time for epoch 206 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.56812, F1-score: 0.023067 	 Precision: 0.01310	 Recall: 0.09640	NDCG: 0.05241
The time for epoch 207 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.06165, F1-score: 0.022954 	 Precision: 0.01303	 Recall: 0.09624	NDCG: 0.05246
The time for epoch 208 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 256.34250, F1-score: 0.023127 	 Precision: 0.01314	 Recall: 0.09661	NDCG: 0.05260
The time for epoch 209 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.38333, F1-score: 0.023308 	 Precision: 0.01324	 Recall: 0.09728	NDCG: 0.05316
The time for epoch 210 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.99780, F1-score: 0.023118 	 Precision: 0.01314	 Recall: 0.09629	NDCG: 0.05318
The time for epoch 211 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.15091, F1-score: 0.023797 	 Precision: 0.01352	 Recall: 0.09924	NDCG: 0.05396
The time for epoch 212 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.81999, F1-score: 0.023680 	 Precision: 0.01345	 Recall: 0.09893	NDCG: 0.05399
The time for epoch 213 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.88406, F1-score: 0.023538 	 Precision: 0.01338	 Recall: 0.09775	NDCG: 0.05403
The time for epoch 214 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.38284, F1-score: 0.023504 	 Precision: 0.01334	 Recall: 0.09847	NDCG: 0.05397
The time for epoch 215 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.80182, F1-score: 0.023788 	 Precision: 0.01352	 Recall: 0.09894	NDCG: 0.05438
The time for epoch 216 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 255.21666, F1-score: 0.023616 	 Precision: 0.01341	 Recall: 0.09860	NDCG: 0.05436
The time for epoch 217 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.13715, F1-score: 0.023853 	 Precision: 0.01355	 Recall: 0.09933	NDCG: 0.05465
The time for epoch 218 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.38736, F1-score: 0.023923 	 Precision: 0.01359	 Recall: 0.09988	NDCG: 0.05515
The time for epoch 219 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.94604, F1-score: 0.024147 	 Precision: 0.01373	 Recall: 0.10016	NDCG: 0.05567
The time for epoch 220 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.57921, F1-score: 0.024108 	 Precision: 0.01369	 Recall: 0.10067	NDCG: 0.05550
The time for epoch 221 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.78403, F1-score: 0.024412 	 Precision: 0.01387	 Recall: 0.10187	NDCG: 0.05634
The time for epoch 222 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.19867, F1-score: 0.024657 	 Precision: 0.01401	 Recall: 0.10288	NDCG: 0.05671
The time for epoch 223 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.23108, F1-score: 0.024361 	 Precision: 0.01383	 Recall: 0.10199	NDCG: 0.05645
The time for epoch 224 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.51135, F1-score: 0.024480 	 Precision: 0.01390	 Recall: 0.10237	NDCG: 0.05668
The time for epoch 225 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.49973, F1-score: 0.024229 	 Precision: 0.01376	 Recall: 0.10115	NDCG: 0.05680
The time for epoch 226 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 255.59575, F1-score: 0.024665 	 Precision: 0.01401	 Recall: 0.10317	NDCG: 0.05770
The time for epoch 227 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.35690, F1-score: 0.024704 	 Precision: 0.01404	 Recall: 0.10264	NDCG: 0.05741
The time for epoch 228 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.22263, F1-score: 0.024905 	 Precision: 0.01415	 Recall: 0.10398	NDCG: 0.05812
The time for epoch 229 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 256.44040, F1-score: 0.024860 	 Precision: 0.01411	 Recall: 0.10433	NDCG: 0.05829
The time for epoch 230 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.93518, F1-score: 0.024770 	 Precision: 0.01408	 Recall: 0.10307	NDCG: 0.05823
The time for epoch 231 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 251.86740, F1-score: 0.025143 	 Precision: 0.01429	 Recall: 0.10478	NDCG: 0.05907
The time for epoch 232 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.40088, F1-score: 0.024795 	 Precision: 0.01408	 Recall: 0.10395	NDCG: 0.05952
The time for epoch 233 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 252.09100, F1-score: 0.025041 	 Precision: 0.01422	 Recall: 0.10499	NDCG: 0.05984
The time for epoch 234 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.81711, F1-score: 0.025104 	 Precision: 0.01425	 Recall: 0.10530	NDCG: 0.06001
The time for epoch 235 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.77634, F1-score: 0.025172 	 Precision: 0.01429	 Recall: 0.10577	NDCG: 0.06041
The time for epoch 236 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.65402, F1-score: 0.025349 	 Precision: 0.01439	 Recall: 0.10629	NDCG: 0.06100
The time for epoch 237 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 255.21243, F1-score: 0.025358 	 Precision: 0.01439	 Recall: 0.10663	NDCG: 0.06139
The time for epoch 238 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.69189, F1-score: 0.025976 	 Precision: 0.01474	 Recall: 0.10933	NDCG: 0.06228
The time for epoch 239 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.81894, F1-score: 0.025901 	 Precision: 0.01470	 Recall: 0.10861	NDCG: 0.06210
The time for epoch 240 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.79630, F1-score: 0.025949 	 Precision: 0.01474	 Recall: 0.10838	NDCG: 0.06221
The time for epoch 241 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.44687, F1-score: 0.025590 	 Precision: 0.01453	 Recall: 0.10719	NDCG: 0.06230
The time for epoch 242 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.81552, F1-score: 0.026017 	 Precision: 0.01477	 Recall: 0.10889	NDCG: 0.06308
The time for epoch 243 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 250.66576, F1-score: 0.026464 	 Precision: 0.01502	 Recall: 0.11128	NDCG: 0.06395
The time for epoch 244 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 252.60826, F1-score: 0.026700 	 Precision: 0.01516	 Recall: 0.11201	NDCG: 0.06443
The time for epoch 245 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 256.64804, F1-score: 0.026897 	 Precision: 0.01526	 Recall: 0.11323	NDCG: 0.06544
The time for epoch 246 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 252.09659, F1-score: 0.027077 	 Precision: 0.01537	 Recall: 0.11386	NDCG: 0.06545
The time for epoch 247 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.31387, F1-score: 0.027106 	 Precision: 0.01540	 Recall: 0.11297	NDCG: 0.06656
The time for epoch 248 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 251.95700, F1-score: 0.027243 	 Precision: 0.01547	 Recall: 0.11399	NDCG: 0.06653
The time for epoch 249 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 249.57666, F1-score: 0.027366 	 Precision: 0.01554	 Recall: 0.11452	NDCG: 0.06714
The time for epoch 250 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 255.23816, F1-score: 0.027922 	 Precision: 0.01585	 Recall: 0.11695	NDCG: 0.06827
The time for epoch 251 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 250.21513, F1-score: 0.028046 	 Precision: 0.01592	 Recall: 0.11749	NDCG: 0.06904
The time for epoch 252 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 251.60466, F1-score: 0.027948 	 Precision: 0.01585	 Recall: 0.11785	NDCG: 0.06900
The time for epoch 253 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 250.99594, F1-score: 0.027868 	 Precision: 0.01582	 Recall: 0.11695	NDCG: 0.06939
The time for epoch 254 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 249.35612, F1-score: 0.028197 	 Precision: 0.01599	 Recall: 0.11901	NDCG: 0.06932
The time for epoch 255 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 246.60379, F1-score: 0.028265 	 Precision: 0.01603	 Recall: 0.11949	NDCG: 0.06939
The time for epoch 256 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 252.47614, F1-score: 0.028465 	 Precision: 0.01613	 Recall: 0.12084	NDCG: 0.07019
The time for epoch 257 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 249.27466, F1-score: 0.028657 	 Precision: 0.01624	 Recall: 0.12189	NDCG: 0.07104
The time for epoch 258 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 248.09573, F1-score: 0.028262 	 Precision: 0.01603	 Recall: 0.11938	NDCG: 0.07046
The time for epoch 259 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 245.94283, F1-score: 0.028870 	 Precision: 0.01638	 Recall: 0.12178	NDCG: 0.07150
The time for epoch 260 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 249.24078, F1-score: 0.028985 	 Precision: 0.01645	 Recall: 0.12202	NDCG: 0.07178
The time for epoch 261 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 246.63902, F1-score: 0.029053 	 Precision: 0.01648	 Recall: 0.12251	NDCG: 0.07211
The time for epoch 262 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 247.18103, F1-score: 0.029487 	 Precision: 0.01672	 Recall: 0.12445	NDCG: 0.07270
The time for epoch 263 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 242.46178, F1-score: 0.029276 	 Precision: 0.01662	 Recall: 0.12272	NDCG: 0.07251
The time for epoch 264 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 245.08057, F1-score: 0.029434 	 Precision: 0.01669	 Recall: 0.12451	NDCG: 0.07252
The time for epoch 265 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.41521, F1-score: 0.029533 	 Precision: 0.01676	 Recall: 0.12416	NDCG: 0.07308
The time for epoch 266 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 237.92856, F1-score: 0.029533 	 Precision: 0.01676	 Recall: 0.12416	NDCG: 0.07329
The time for epoch 267 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 242.75240, F1-score: 0.029596 	 Precision: 0.01679	 Recall: 0.12447	NDCG: 0.07407
The time for epoch 268 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 246.55788, F1-score: 0.029825 	 Precision: 0.01693	 Recall: 0.12494	NDCG: 0.07367
The time for epoch 269 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 245.15053, F1-score: 0.030085 	 Precision: 0.01707	 Recall: 0.12646	NDCG: 0.07465
The time for epoch 270 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 240.63457, F1-score: 0.030274 	 Precision: 0.01718	 Recall: 0.12740	NDCG: 0.07505
The time for epoch 271 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 242.29622, F1-score: 0.029875 	 Precision: 0.01697	 Recall: 0.12479	NDCG: 0.07453
The time for epoch 272 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 247.27490, F1-score: 0.030263 	 Precision: 0.01718	 Recall: 0.12702	NDCG: 0.07518
The time for epoch 273 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 239.82414, F1-score: 0.030375 	 Precision: 0.01725	 Recall: 0.12715	NDCG: 0.07542
The time for epoch 274 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 239.88318, F1-score: 0.030394 	 Precision: 0.01725	 Recall: 0.12785	NDCG: 0.07635
The time for epoch 275 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 235.87129, F1-score: 0.030327 	 Precision: 0.01721	 Recall: 0.12737	NDCG: 0.07599
The time for epoch 276 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 239.75816, F1-score: 0.030446 	 Precision: 0.01728	 Recall: 0.12775	NDCG: 0.07620
The time for epoch 277 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 227.79428, F1-score: 0.030236 	 Precision: 0.01718	 Recall: 0.12607	NDCG: 0.07588
The time for epoch 278 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 234.26358, F1-score: 0.030836 	 Precision: 0.01753	 Recall: 0.12818	NDCG: 0.07661
The time for epoch 279 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 237.86842, F1-score: 0.030833 	 Precision: 0.01753	 Recall: 0.12809	NDCG: 0.07641
The time for epoch 280 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 236.24072, F1-score: 0.030963 	 Precision: 0.01760	 Recall: 0.12884	NDCG: 0.07672
The time for epoch 281 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 238.77925, F1-score: 0.030694 	 Precision: 0.01746	 Recall: 0.12699	NDCG: 0.07621
The time for epoch 282 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 235.15942, F1-score: 0.030888 	 Precision: 0.01756	 Recall: 0.12810	NDCG: 0.07717
The time for epoch 283 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 237.72559, F1-score: 0.031464 	 Precision: 0.01791	 Recall: 0.12941	NDCG: 0.07759
The time for epoch 284 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 234.20084, F1-score: 0.031332 	 Precision: 0.01784	 Recall: 0.12858	NDCG: 0.07724
The time for epoch 285 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 226.63675, F1-score: 0.031394 	 Precision: 0.01787	 Recall: 0.12884	NDCG: 0.07790
The time for epoch 286 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 225.82613, F1-score: 0.031445 	 Precision: 0.01791	 Recall: 0.12874	NDCG: 0.07760
The time for epoch 287 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 231.17947, F1-score: 0.031698 	 Precision: 0.01805	 Recall: 0.13004	NDCG: 0.07785
The time for epoch 288 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 230.66553, F1-score: 0.031655 	 Precision: 0.01801	 Recall: 0.13039	NDCG: 0.07837
The time for epoch 289 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 229.33214, F1-score: 0.031806 	 Precision: 0.01812	 Recall: 0.13007	NDCG: 0.07866
The time for epoch 290 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 231.35359, F1-score: 0.031771 	 Precision: 0.01808	 Recall: 0.13068	NDCG: 0.07837
The time for epoch 291 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 229.12997, F1-score: 0.031942 	 Precision: 0.01819	 Recall: 0.13103	NDCG: 0.07874
The time for epoch 292 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 226.49695, F1-score: 0.032069 	 Precision: 0.01826	 Recall: 0.13168	NDCG: 0.07936
The time for epoch 293 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 221.83615, F1-score: 0.032003 	 Precision: 0.01822	 Recall: 0.13124	NDCG: 0.07915
The time for epoch 294 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 220.93399, F1-score: 0.031648 	 Precision: 0.01801	 Recall: 0.13015	NDCG: 0.07976
The time for epoch 295 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 219.50891, F1-score: 0.031782 	 Precision: 0.01808	 Recall: 0.13105	NDCG: 0.07979
The time for epoch 296 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 222.09030, F1-score: 0.031847 	 Precision: 0.01812	 Recall: 0.13143	NDCG: 0.07979
The time for epoch 297 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 221.14377, F1-score: 0.032017 	 Precision: 0.01822	 Recall: 0.13174	NDCG: 0.07948
The time for epoch 298 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 221.33363, F1-score: 0.031916 	 Precision: 0.01815	 Recall: 0.13196	NDCG: 0.07979
The time for epoch 299 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 221.30783, F1-score: 0.031859 	 Precision: 0.01812	 Recall: 0.13186	NDCG: 0.07951
The time for epoch 300 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 214.24750, F1-score: 0.032400 	 Precision: 0.01843	 Recall: 0.13377	NDCG: 0.08033
The time for epoch 301 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 219.66551, F1-score: 0.032417 	 Precision: 0.01843	 Recall: 0.13437	NDCG: 0.08081
The time for epoch 302 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 215.19980, F1-score: 0.032291 	 Precision: 0.01836	 Recall: 0.13373	NDCG: 0.08036
The time for epoch 303 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 207.55661, F1-score: 0.032522 	 Precision: 0.01850	 Recall: 0.13425	NDCG: 0.08067
The time for epoch 304 is: train time = 00: 00: 03, test time = 00: 00: 00
